Unix_Time_s,RelativeTime_s,Target_Position_Deg,Measured_Position_Deg,Is_Bursting
1782117357.521337,0.010,7.000,7.000,0
1782117357.524086,0.012,7.000,7.000,0
1782117357.535805,0.024,7.000,7.000,0
1782117357.545443,0.034,7.000,7.000,0
1782117357.560617,0.049,7.000,7.000,0
1782117357.567175,0.055,7.000,7.000,0
1782117357.575242,0.063,7.000,7.000,0
1782117357.584300,0.072,7.000,7.000,0
1782117357.596387,0.085,7.000,7.000,0
1782117357.815274,0.303,7.000,7.000,0
1782117357.816785,0.305,7.000,7.000,0
1782117357.816785,0.305,7.000,7.000,0
1782117357.817742,0.306,7.000,7.000,0
1782117357.817742,0.306,7.000,7.000,0
1782117357.817742,0.306,7.000,7.000,0
1782117357.818749,0.307,7.000,7.000,0
1782117357.818749,0.307,7.000,7.000,0
1782117357.819749,0.308,7.000,7.000,0
1782117357.819749,0.308,7.000,7.000,0
1782117357.819749,0.308,7.000,7.000,0
1782117357.820748,0.309,7.000,7.000,0
1782117357.820748,0.309,7.000,7.000,0
1782117357.820748,0.309,7.000,7.000,0
1782117357.821749,0.310,7.000,7.000,0
1782117357.821749,0.310,7.000,7.000,0
1782117357.822748,0.311,7.000,7.000,0
1782117357.822748,0.311,7.000,7.000,0
1782117357.823254,0.311,7.000,7.000,0
1782117357.823254,0.311,7.000,7.000,0
1782117357.824261,0.312,7.000,7.000,0
1782117357.824261,0.312,7.000,7.000,0
1782117357.826261,0.314,7.000,7.000,0
1782117357.832843,0.321,7.000,7.000,0
1782117357.844180,0.332,7.000,7.000,0
1782117357.854371,0.343,7.000,7.000,0
1782117357.866451,0.355,7.000,7.000,0
1782117357.875230,0.363,7.000,7.000,0
1782117357.883819,0.372,7.000,7.000,0
1782117357.895389,0.384,7.000,7.000,0
1782117357.906940,0.395,7.000,7.000,0
1782117357.914454,0.403,7.000,7.000,0
1782117357.924484,0.413,7.000,7.000,0
1782117357.934527,0.423,7.000,7.000,0
1782117357.944853,0.433,7.000,7.000,0
1782117357.953514,0.442,7.000,7.000,0
1782117357.964250,0.452,7.000,7.000,0
1782117357.977388,0.466,7.000,7.000,0
1782117357.988989,0.477,7.000,7.000,0
1782117357.993510,0.482,7.000,7.000,0
1782117358.008610,0.497,7.000,7.000,0
1782117358.017694,0.506,7.000,7.000,0
1782117358.024213,0.512,7.000,7.000,0
1782117358.035316,0.523,7.000,7.000,0
1782117358.044080,0.532,7.000,7.000,0
1782117358.057096,0.545,7.000,7.000,0
1782117358.063621,0.552,7.000,7.000,0
1782117358.078874,0.567,7.000,7.000,0
1782117358.085945,0.574,7.000,7.000,0
1782117358.094400,0.583,7.000,7.000,0
1782117358.108183,0.596,7.000,7.000,0
1782117358.113821,0.602,7.000,7.000,0
1782117358.123941,0.612,7.000,7.000,0
1782117358.134202,0.622,7.000,7.000,0
1782117358.144807,0.633,7.000,7.000,0
1782117358.156398,0.645,7.000,7.000,0
1782117358.163605,0.652,7.000,7.000,0
1782117358.180599,0.669,7.000,7.000,0
1782117358.183752,0.672,7.000,7.000,0
1782117358.194288,0.682,7.000,7.000,0
1782117358.208161,0.696,7.000,7.000,0
1782117358.215492,0.704,7.000,7.000,0
1782117358.224912,0.713,7.000,7.000,0
1782117358.235634,0.724,7.000,7.000,0
1782117358.244216,0.732,7.000,7.000,0
1782117358.254562,0.743,7.000,7.000,0
1782117358.267375,0.756,7.000,7.000,0
1782117358.276610,0.765,7.000,7.000,0
1782117358.283663,0.772,7.000,7.000,0
1782117358.294004,0.782,7.000,7.000,0
1782117358.312494,0.801,7.000,7.000,0
1782117358.314075,0.802,7.000,7.000,0
