Unix_Time_s,RelativeTime_s,Target_Position_Deg,Measured_Position_Deg,Is_Bursting
1782117302.036307,0.012,7.000,7.000,0
1782117302.048931,0.025,7.000,7.000,0
1782117302.054219,0.030,7.000,7.000,0
1782117302.064253,0.040,7.000,7.000,0
1782117302.075083,0.051,7.000,7.000,0
1782117302.087105,0.063,7.000,7.000,0
1782117302.096128,0.072,7.000,7.000,0
1782117302.104146,0.080,7.000,7.000,0
1782117302.114819,0.090,7.000,7.000,0
1782117302.125443,0.101,7.000,7.000,0
1782117302.135339,0.111,7.000,7.000,0
1782117302.144768,0.120,7.000,7.000,0
1782117302.154780,0.130,7.000,7.000,0
1782117302.169396,0.145,7.000,7.000,0
1782117302.175586,0.151,7.000,7.000,0
1782117302.184430,0.160,7.000,7.000,0
1782117302.196089,0.172,7.000,7.000,0
1782117302.205146,0.181,7.000,7.000,0
1782117302.215174,0.191,7.000,7.000,0
1782117302.224839,0.200,7.000,7.000,0
1782117302.235364,0.211,7.000,7.000,0
1782117302.246886,0.222,7.000,7.000,0
1782117302.255455,0.231,7.000,7.000,0
1782117302.271769,0.247,7.000,7.000,0
1782117302.273769,0.249,7.000,7.000,0
1782117302.284776,0.260,7.000,7.000,0
1782117302.294489,0.270,7.000,7.000,0
1782117302.305719,0.281,7.000,7.000,0
1782117302.315421,0.291,7.000,7.000,0
1782117302.324449,0.300,7.000,7.000,0
1782117302.334466,0.310,7.000,7.000,0
1782117302.344646,0.320,7.000,7.000,0
1782117302.355674,0.331,7.000,7.000,0
1782117302.374369,0.350,7.000,7.000,0
1782117302.375864,0.351,7.000,7.000,0
1782117302.384624,0.360,7.000,7.000,0
1782117302.395817,0.371,7.000,7.000,0
1782117302.404167,0.380,7.000,7.000,0
1782117302.415310,0.391,7.000,7.000,0
1782117302.424034,0.400,7.000,7.000,0
1782117302.434561,0.410,7.000,7.000,0
1782117302.444820,0.420,7.000,7.000,0
1782117302.463883,0.439,7.000,7.000,0
1782117302.474643,0.450,7.000,7.000,0
1782117302.475644,0.451,7.000,7.000,0
1782117302.484397,0.460,7.000,7.000,0
1782117302.496797,0.472,7.000,7.000,0
1782117302.505818,0.481,7.000,7.000,0
1782117302.514818,0.490,7.000,7.000,0
1782117302.524131,0.500,7.000,7.000,0
1782117302.534305,0.510,7.000,7.000,0
1782117302.545033,0.521,7.000,7.000,0
1782117302.554660,0.530,7.000,7.000,0
1782117302.564620,0.540,7.000,7.000,0
1782117302.576382,0.552,7.000,7.000,0
1782117302.583903,0.560,7.000,7.000,0
1782117302.593932,0.570,7.000,7.000,0
1782117302.605962,0.582,7.000,7.000,0
1782117302.614479,0.590,7.000,7.000,0
1782117302.624476,0.600,7.000,7.000,0
1782117302.634005,0.610,7.000,7.000,0
1782117302.645032,0.621,7.000,7.000,0
1782117302.654685,0.630,7.000,7.000,0
1782117302.664243,0.640,7.000,7.000,0
1782117302.678751,0.654,7.000,7.000,0
1782117302.685751,0.661,7.000,7.000,0
1782117302.694754,0.670,7.000,7.000,0
1782117302.704751,0.680,7.000,7.000,0
1782117302.719757,0.695,7.000,7.000,0
1782117302.725757,0.701,7.000,7.000,0
1782117302.742268,0.718,7.000,7.000,0
1782117302.756268,0.732,7.000,7.000,0
1782117302.757267,0.733,7.000,7.000,0
1782117302.764270,0.740,7.000,7.000,0
1782117302.781270,0.757,7.000,7.000,0
1782117302.784269,0.760,7.000,7.000,0
1782117302.807268,0.783,7.000,7.000,0
1782117302.808271,0.784,7.000,7.000,0
1782117302.814279,0.790,7.000,7.000,0
1782117302.825286,0.801,7.000,7.000,0
1782117302.834805,0.810,7.000,7.000,0
1782117302.844804,0.820,7.000,7.000,0
1782117302.854803,0.830,7.000,7.000,0
1782117302.864805,0.840,7.000,7.000,0
1782117302.874804,0.850,7.000,7.000,0
1782117302.884804,0.860,7.000,7.000,0
1782117302.894804,0.870,7.000,7.000,0
1782117302.906804,0.882,7.000,7.000,0
1782117302.915057,0.891,7.000,7.000,0
1782117302.924057,0.900,7.000,7.000,0
1782117302.936569,0.912,7.000,7.000,0
1782117302.946570,0.922,7.000,7.000,0
1782117302.954707,0.930,7.000,7.000,0
1782117302.964709,0.940,7.000,7.000,0
1782117302.975705,0.951,7.000,7.000,0
1782117302.986704,0.962,7.000,7.000,0
1782117302.994703,0.970,7.000,7.000,0
1782117303.004704,0.980,7.000,7.000,0
1782117303.019252,0.995,7.000,7.000,0
1782117303.024220,1.000,7.000,7.000,0
1782117303.034813,1.010,7.000,7.000,0
1782117303.044813,1.020,7.000,7.000,0
1782117303.056815,1.032,7.000,7.000,0
1782117303.063817,1.039,7.000,7.000,0
1782117303.074816,1.050,7.000,7.000,0
1782117303.088814,1.064,7.000,7.000,0
1782117303.093816,1.069,7.000,7.000,0
1782117303.104814,1.080,7.000,7.000,0
1782117303.113814,1.089,7.000,7.000,0
1782117303.124820,1.100,7.000,7.000,0
1782117303.134329,1.110,7.000,7.000,0
1782117303.145669,1.121,7.000,7.000,0
1782117303.154671,1.130,7.000,7.000,0
1782117303.164669,1.140,7.000,7.000,0
1782117303.174668,1.150,7.000,7.000,0
1782117303.192104,1.168,7.000,7.000,0
1782117303.196407,1.172,7.000,7.000,0
1782117303.204614,1.180,8.200,7.000,1
1782117303.220826,1.196,8.200,7.000,1
1782117303.223826,1.199,8.200,7.000,1
1782117303.234337,1.210,8.200,7.000,1
1782117303.244337,1.220,8.200,7.000,1
1782117303.254337,1.230,8.200,7.002,1
1782117303.264335,1.240,8.200,7.004,1
1782117303.274336,1.250,8.200,7.008,1
1782117303.287720,1.263,8.200,7.014,1
1782117303.306118,1.282,8.200,7.014,1
1782117303.307117,1.283,8.200,7.026,1
1782117303.316787,1.292,8.200,7.033,1
1782117303.325307,1.301,8.200,7.043,1
1782117303.334323,1.310,8.200,7.053,1
1782117303.343904,1.320,8.200,7.064,1
1782117303.354533,1.330,8.200,7.064,1
1782117303.364564,1.340,8.200,7.088,1
1782117303.374072,1.350,8.200,7.099,1
1782117303.385685,1.361,8.200,7.117,1
1782117303.395984,1.372,8.200,7.134,1
1782117303.405686,1.381,8.200,7.134,1
1782117303.415805,1.391,8.200,7.168,1
1782117303.426616,1.402,8.200,7.183,1
1782117303.433851,1.409,8.200,7.206,1
1782117303.444754,1.420,8.200,7.229,1
1782117303.454053,1.430,8.200,7.244,1
1782117303.465034,1.441,8.200,7.244,1
1782117303.474698,1.450,8.200,7.298,1
1782117303.484335,1.460,8.200,7.317,1
1782117303.495625,1.471,8.200,7.348,1
1782117303.504455,1.480,8.200,7.370,1
1782117303.514472,1.490,8.200,7.401,1
1782117303.528330,1.504,8.200,7.424,1
1782117303.534028,1.510,8.200,7.459,1
1782117303.544563,1.520,8.200,7.484,1
1782117303.557799,1.533,8.200,7.522,1
1782117303.564310,1.540,8.200,7.522,1
1782117303.573848,1.549,8.200,7.586,1
1782117303.585607,1.561,8.200,7.626,1
1782117303.600661,1.576,8.200,7.652,1
1782117303.604237,1.580,8.200,7.691,1
1782117303.614889,1.590,8.200,7.691,1
1782117303.624037,1.600,8.200,7.750,1
1782117303.634295,1.610,8.200,7.773,1
1782117303.643967,1.620,8.200,7.807,1
1782117303.654189,1.630,8.200,7.837,1
1782117303.664690,1.640,8.200,7.837,1
1782117303.674330,1.650,8.200,7.887,1
1782117303.683972,1.660,8.200,7.907,1
1782117303.697598,1.673,8.200,7.935,1
1782117303.703711,1.679,8.200,7.961,1
1782117303.713861,1.689,8.200,7.961,1
1782117303.725544,1.701,8.200,8.001,1
1782117303.734248,1.710,8.200,8.016,1
1782117303.753014,1.729,8.200,8.038,1
1782117303.754961,1.731,8.200,8.057,1
1782117303.764863,1.740,8.200,8.057,1
1782117303.773761,1.749,8.200,8.088,1
1782117303.784788,1.760,8.200,8.099,1
1782117303.794795,1.770,8.200,8.115,1
1782117303.804560,1.780,8.200,8.125,1
1782117303.814090,1.790,8.200,8.138,1
1782117303.824590,1.800,8.200,8.147,1
1782117303.835681,1.811,8.200,8.158,1
1782117303.843549,1.819,8.200,8.165,1
