Unix_Time_s,RelativeTime_s,Target_Position_Deg,Measured_Position_Deg,Is_Bursting
1782117398.482444,0.010,7.000,7.000,0
1782117398.482444,0.010,7.000,7.000,0
1782117398.547453,0.075,7.000,7.000,0
1782117398.548454,0.076,7.000,7.000,0
1782117398.548454,0.076,7.000,7.000,0
1782117398.549457,0.077,7.000,7.000,0
1782117398.549973,0.077,7.000,7.000,0
1782117398.549973,0.077,7.000,7.000,0
1782117398.549973,0.077,7.000,7.000,0
1782117398.558297,0.086,7.000,7.000,0
1782117398.564901,0.092,7.000,7.000,0
1782117398.573363,0.101,7.000,7.000,0
1782117398.585765,0.113,7.000,7.000,0
1782117398.594938,0.122,7.000,7.000,0
1782117398.604331,0.132,7.000,7.000,0
1782117398.628805,0.156,7.000,7.000,0
1782117398.629746,0.157,7.000,7.000,0
1782117398.635088,0.163,7.000,7.000,0
1782117398.708347,0.236,7.000,7.000,0
1782117398.708347,0.236,7.000,7.000,0
1782117398.708347,0.236,7.000,7.000,0
1782117398.709354,0.237,7.000,7.000,0
1782117398.709354,0.237,7.000,7.000,0
1782117398.710456,0.238,7.000,7.000,0
1782117398.710456,0.238,7.000,7.000,0
1782117398.715878,0.243,7.000,7.000,0
1782117398.731904,0.259,7.000,7.000,0
1782117398.735914,0.263,7.000,7.000,0
1782117398.746198,0.274,7.000,7.000,0
1782117398.754680,0.282,7.000,7.000,0
1782117398.763024,0.290,7.000,7.000,0
1782117398.776300,0.304,7.000,7.000,0
1782117398.786376,0.314,7.000,7.000,0
1782117398.794607,0.322,7.000,7.000,0
1782117398.804816,0.332,7.000,7.000,0
1782117398.875913,0.403,7.000,7.000,0
1782117398.875913,0.403,7.000,7.000,0
1782117398.875913,0.403,7.000,7.000,0
1782117398.875913,0.403,7.000,7.000,0
1782117398.877033,0.404,7.000,7.000,0
1782117398.877033,0.404,7.000,7.000,0
1782117398.877033,0.404,7.000,7.000,0
1782117398.883287,0.411,7.000,7.000,0
1782117398.893797,0.421,7.000,7.000,0
1782117398.903810,0.431,7.000,7.000,0
1782117398.914811,0.442,7.000,7.000,0
1782117398.923812,0.451,7.000,7.000,0
1782117398.935329,0.463,7.000,7.000,0
1782117398.947311,0.475,7.000,7.000,0
1782117398.953801,0.481,7.000,7.000,0
1782117398.964433,0.492,7.000,7.000,0
1782117398.975448,0.503,7.000,7.000,0
1782117399.039551,0.567,7.000,7.000,0
1782117399.040543,0.568,7.000,7.000,0
1782117399.040543,0.568,7.000,7.000,0
1782117399.040543,0.568,7.000,7.000,0
1782117399.041848,0.569,7.000,7.000,0
1782117399.042356,0.570,7.000,7.000,0
1782117399.044365,0.572,7.000,7.000,0
1782117399.053368,0.581,7.000,7.000,0
1782117399.065382,0.593,7.000,7.000,0
1782117399.073515,0.601,7.000,7.000,0
1782117399.083537,0.611,7.000,7.000,0
1782117399.094240,0.622,7.000,7.000,0
1782117399.103681,0.631,7.000,7.000,0
1782117399.114131,0.642,7.000,7.000,0
1782117399.123424,0.651,7.000,7.000,0
1782117399.140543,0.668,7.000,7.000,0
1782117399.143545,0.671,7.000,7.000,0
1782117399.153023,0.680,7.000,7.000,0
1782117399.163511,0.691,7.000,7.000,0
1782117399.173511,0.701,7.000,7.000,0
1782117399.183521,0.711,7.000,7.000,0
1782117399.194438,0.722,7.000,7.000,0
1782117399.203477,0.731,7.000,7.000,0
1782117399.214025,0.741,7.000,7.000,0
1782117399.223394,0.751,8.200,7.000,1
1782117399.235407,0.763,8.200,7.000,1
1782117399.244397,0.772,8.200,7.000,1
1782117399.253391,0.781,8.200,7.000,1
1782117399.318455,0.846,8.200,7.001,1
1782117399.318455,0.846,8.200,7.002,1
1782117399.319706,0.847,8.200,7.004,1
1782117399.319706,0.847,8.200,7.009,1
1782117399.319706,0.847,8.200,7.013,1
1782117399.320735,0.848,8.200,7.020,1
1782117399.323720,0.851,8.200,7.028,1
1782117399.338196,0.866,8.200,7.035,1
1782117399.346133,0.874,8.200,7.045,1
1782117399.354540,0.882,8.200,7.053,1
1782117399.363539,0.891,8.200,7.066,1
1782117399.375718,0.903,8.200,7.075,1
1782117399.383928,0.911,8.200,7.090,1
1782117399.393842,0.921,8.200,7.106,1
1782117399.404601,0.932,8.200,7.118,1
1782117399.413446,0.941,8.200,7.137,1
1782117399.423524,0.951,8.200,7.151,1
1782117399.488256,1.016,8.200,7.171,1
1782117399.488256,1.016,8.200,7.192,1
1782117399.488256,1.016,8.200,7.208,1
1782117399.488256,1.016,8.200,7.233,1
1782117399.489767,1.017,8.200,7.250,1
1782117399.490779,1.018,8.200,7.278,1
1782117399.495729,1.023,8.200,7.297,1
1782117399.504251,1.032,8.200,7.325,1
1782117399.512916,1.040,8.200,7.346,1
1782117399.525833,1.053,8.200,7.377,1
1782117399.550631,1.078,8.200,7.400,1
1782117399.551970,1.079,8.200,7.434,1
1782117399.553231,1.081,8.200,7.468,1
1782117399.562776,1.090,8.200,7.493,1
1782117399.573963,1.101,8.200,7.531,1
1782117399.584254,1.112,8.200,7.557,1
1782117399.658231,1.186,8.200,7.597,1
1782117399.660028,1.187,8.200,7.622,1
1782117399.660028,1.187,8.200,7.661,1
1782117399.661042,1.188,8.200,7.687,1
1782117399.661042,1.188,8.200,7.725,1
1782117399.661042,1.188,8.200,7.761,1
1782117399.662394,1.190,8.200,7.782,1
1782117399.666039,1.193,8.200,7.815,1
1782117399.676562,1.204,8.200,7.837,1
1782117399.684465,1.212,8.200,7.868,1
1782117399.693795,1.221,8.200,7.888,1
1782117399.717129,1.245,8.200,7.916,1
1782117399.717129,1.245,8.200,7.934,1
1782117399.728977,1.256,8.200,7.961,1
1782117399.743321,1.271,8.200,7.978,1
1782117399.755663,1.283,8.200,8.002,1
1782117399.755663,1.283,8.200,8.018,1
1782117399.763516,1.291,8.200,8.039,1
1782117399.776603,1.304,8.200,8.059,1
1782117399.784647,1.312,8.200,8.072,1
1782117399.792453,1.320,8.200,8.091,1
1782117399.804055,1.332,8.200,8.102,1
1782117399.815861,1.343,8.200,8.118,1
1782117399.823380,1.351,8.200,8.126,1
1782117399.834000,1.361,8.200,8.140,1
1782117399.843037,1.370,8.200,8.148,1
1782117399.857256,1.385,8.200,8.159,1
1782117399.863318,1.391,8.200,8.169,1
1782117399.872830,1.400,8.200,8.174,1
1782117399.933123,1.461,8.200,8.181,1
1782117399.933123,1.461,8.200,8.186,1
1782117399.934629,1.462,8.200,8.191,1
1782117399.934629,1.462,8.200,8.194,1
1782117399.934629,1.462,8.200,8.197,1
1782117399.935606,1.463,8.200,8.198,1
1782117399.944832,1.472,8.200,8.198,1
1782117399.954930,1.482,8.200,8.198,1
